coin_id,date,open,high,low,close,volume
litecoin,2025-03-13,91.48965454101562,91.65618133544922,86.41110229492188,88.03050231933594,522721551
litecoin,2025-03-14,88.02823638916016,92.71328735351562,87.9225845336914,91.33390808105469,495040756
litecoin,2025-03-15,91.33246612548828,94.10469818115234,91.08111572265625,92.5405502319336,446857353
litecoin,2025-03-16,92.540771484375,92.6170425415039,88.65928649902344,90.34935760498047,452344718
litecoin,2025-03-17,90.34922790527344,94.2761459350586,90.30828094482422,92.36361694335938,682772839
litecoin,2025-03-18,92.36336517333984,92.36336517333984,87.34113311767578,90.08269500732422,521781987
litecoin,2025-03-19,90.08259582519531,94.13768768310547,89.45930480957031,94.05044555664062,609241860
litecoin,2025-03-20,94.0631332397461,94.41155242919922,90.2431869506836,93.28262329101562,470588105
litecoin,2025-03-21,93.28095245361328,93.81848907470703,90.93335723876953,90.93335723876953,417713987
litecoin,2025-03-22,90.93338775634766,92.14759063720703,90.50015258789062,91.2575454711914,298814287
litecoin,2025-03-23,91.25753021240234,92.94347381591797,90.77978515625,91.41535186767578,310565424
litecoin,2025-03-24,91.41448211669922,95.5163803100586,90.95836639404297,93.67450714111328,543202292
litecoin,2025-03-25,93.67311096191406,94.6620864868164,92.07332611083984,94.44954681396484,416701792
litecoin,2025-03-26,94.44918060302734,96.47010803222656,91.23176574707031,92.33674621582031,490084182
litecoin,2025-03-27,92.33684539794922,94.97689056396484,92.31645202636719,92.82347869873047,385090771
litecoin,2025-03-28,92.82295227050781,93.3537368774414,85.85205078125,87.3966293334961,533689886
litecoin,2025-03-29,87.39659118652344,87.92958068847656,84.46468353271484,85.4487533569336,393958821
litecoin,2025-03-30,85.44839477539062,86.7560043334961,84.82988739013672,86.00347137451172,304673706
litecoin,2025-03-31,86.00347900390625,86.16148376464844,81.0151596069336,83.03350067138672,490698699
litecoin,2025-04-01,83.0338134765625,85.83924865722656,82.95877075195312,84.48882293701172,365025852
litecoin,2025-04-02,84.48794555664062,88.07308197021484,81.16949462890625,81.75888061523438,689988277
litecoin,2025-04-03,81.75977325439453,84.57359313964844,80.36215209960938,83.32506561279297,513143317
litecoin,2025-04-04,83.32502746582031,84.9629898071289,81.79515075683594,84.417724609375,447174201
litecoin,2025-04-05,84.41851806640625,84.87789154052734,81.7977294921875,82.71145629882812,236343177
litecoin,2025-04-06,82.71119689941406,82.99740600585938,68.6411361694336,70.42854309082031,657828967
litecoin,2025-04-07,70.42865753173828,72.35467529296875,63.751861572265625,70.96516418457031,1102503251
litecoin,2025-04-08,70.97097778320312,73.4031982421875,68.42230224609375,69.09323120117188,520346488
litecoin,2025-04-09,69.09361267089844,78.0263900756836,66.73370361328125,76.0118179321289,775644355
litecoin,2025-04-10,76.01344299316406,76.01459503173828,71.30794525146484,73.7248306274414,443121281
litecoin,2025-04-11,73.72712707519531,77.39379119873047,73.72712707519531,76.21421813964844,396930539
litecoin,2025-04-12,76.21263122558594,79.97667694091797,74.93739318847656,78.596923828125,364154969
litecoin,2025-04-13,78.59809875488281,79.9318618774414,76.96993255615234,77.78424835205078,381467151
litecoin,2025-04-14,77.78338623046875,80.13285064697266,75.94672393798828,77.07643127441406,418704418
litecoin,2025-04-15,77.07637023925781,78.61451721191406,74.84861755371094,75.40563201904297,331081560
litecoin,2025-04-16,75.40530395507812,76.44567108154297,73.61559295654297,74.3116455078125,397457521
litecoin,2025-04-17,74.3116455078125,76.44384765625,73.76600646972656,74.88020324707031,326332046
litecoin,2025-04-18,74.88410186767578,76.98479461669922,74.66255950927734,75.9880599975586,266957995
